source,run_id,model,stage,run_dir,history_file,top10_records,pretraining_records,status
curriculum,20260629_003422,from_scratch,reading,/workspace/logs/eeg_language_curriculum_three_models/20260629_003422/eeg_curriculum_from_scratch_reading_seed42,/workspace/logs/eeg_language_curriculum_three_models/20260629_003422/eeg_curriculum_from_scratch_reading_seed42/epoch_metrics.csv,0,31,ok_pretraining_only
curriculum,20260629_003422,megxl_eeg1,reading,/workspace/logs/eeg_language_curriculum_three_models/20260629_003422/eeg_curriculum_megxl_eeg1_reading_seed42,/workspace/logs/eeg_language_curriculum_three_models/20260629_003422/eeg_curriculum_megxl_eeg1_reading_seed42/epoch_metrics.csv,0,10,ok_pretraining_only
curriculum,20260629_003422,megxl_eeg2,reading,/workspace/logs/eeg_language_curriculum_three_models/20260629_003422/eeg_curriculum_megxl_eeg2_reading_seed42,/workspace/logs/eeg_language_curriculum_three_models/20260629_003422/eeg_curriculum_megxl_eeg2_reading_seed42/epoch_metrics.csv,0,10,ok_pretraining_only
curriculum,20260629_004853,from_scratch,language,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_from_scratch_language_seed42,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_from_scratch_language_seed42/epoch_metrics.csv,0,23875,ok_pretraining_only
curriculum,20260629_004853,from_scratch,reading,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_from_scratch_reading_seed42,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_from_scratch_reading_seed42/epoch_metrics.csv,0,4492,ok_pretraining_only
curriculum,20260629_004853,megxl_eeg1,language,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_megxl_eeg1_language_seed42,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_megxl_eeg1_language_seed42/epoch_metrics.csv,0,23875,ok_pretraining_only
curriculum,20260629_004853,megxl_eeg1,reading,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_megxl_eeg1_reading_seed42,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_megxl_eeg1_reading_seed42/epoch_metrics.csv,0,4492,ok_pretraining_only
curriculum,20260629_004853,megxl_eeg2,language,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_megxl_eeg2_language_seed42,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_megxl_eeg2_language_seed42/epoch_metrics.csv,0,23875,ok_pretraining_only
curriculum,20260629_004853,megxl_eeg2,reading,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_megxl_eeg2_reading_seed42,/workspace/logs/eeg_language_curriculum_three_models/20260629_004853/eeg_curriculum_megxl_eeg2_reading_seed42/epoch_metrics.csv,0,4492,ok_pretraining_only
ds004408_three_way,20260701_102301,eeg_from_scratch,finetuning,/workspace/logs/word_classification_ds004408_eeg/20260701_102301/eeg_from_scratch,/workspace/logs/word_classification_ds004408_eeg/20260701_102301/eeg_from_scratch/metrics_history.csv,52,0,ok
ds004408_three_way,20260701_102301,eeg_pretrained,finetuning,/workspace/logs/word_classification_ds004408_eeg/20260701_102301/eeg_pretrained,/workspace/logs/word_classification_ds004408_eeg/20260701_102301/eeg_pretrained/metrics_history.csv,48,0,ok
ds004408_three_way,20260701_102301,random_init,finetuning,/workspace/logs/word_classification_ds004408_eeg/20260701_102301/random_init,/workspace/logs/word_classification_ds004408_eeg/20260701_102301/random_init/metrics_history.csv,44,0,ok
ds004408_three_way,20260702_144201,eeg_from_scratch,finetuning,/workspace/logs/word_classification_ds004408_eeg/20260702_144201/eeg_from_scratch,/workspace/logs/word_classification_ds004408_eeg/20260702_144201/eeg_from_scratch/metrics_history.csv,56,0,ok
ds004408_three_way,20260702_144201,eeg_pretrained,finetuning,/workspace/logs/word_classification_ds004408_eeg/20260702_144201/eeg_pretrained,/workspace/logs/word_classification_ds004408_eeg/20260702_144201/eeg_pretrained/metrics_history.csv,8,0,ok
ds004408_three_way,20260702_144201,random_init,finetuning,/workspace/logs/word_classification_ds004408_eeg/20260702_144201/random_init,/workspace/logs/word_classification_ds004408_eeg/20260702_144201/random_init/metrics_history.csv,80,0,ok
ds004408_four_way,20260703_120008,eeg_from_scratch,finetuning,/workspace/logs/word_classification_ds004408_four_way/20260703_120008/eeg_from_scratch,/workspace/logs/word_classification_ds004408_four_way/20260703_120008/eeg_from_scratch/metrics_history.csv,60,0,ok
ds004408_four_way,20260703_120008,megxl_eeg1,finetuning,/workspace/logs/word_classification_ds004408_four_way/20260703_120008/megxl_eeg1,/workspace/logs/word_classification_ds004408_four_way/20260703_120008/megxl_eeg1/metrics_history.csv,56,0,ok
ds004408_four_way,20260703_120008,megxl_eeg2,finetuning,/workspace/logs/word_classification_ds004408_four_way/20260703_120008/megxl_eeg2,/workspace/logs/word_classification_ds004408_four_way/20260703_120008/megxl_eeg2/metrics_history.csv,52,0,ok
ds004408_four_way,20260703_120008,random_init,finetuning,/workspace/logs/word_classification_ds004408_four_way/20260703_120008/random_init,/workspace/logs/word_classification_ds004408_four_way/20260703_120008/random_init/metrics_history.csv,52,0,ok
